orf	expr.no.pheromone	expr.with.pheromone
YJR054W	38.33	42.71
YHR042w	406.95	177.18
YLR326W	3.71	5.2
YML043C	9.83	14.2
YLR228C	29.9	26.53
YNR035C	46.21	53.61
YOR263C	1.14	2.1
YDL128W	245.25	173.97
YDL079C	32.89	22.1
YDR027c	17.53	16.65
YDR127W	59.83	46.68
YGL123W	2031.46	2193.47
YER071c	13.68	9.06
YCR102c	7.51	4.51
YJR048W	13.39	14.94
YGL176C	15.22	7.4
YLR333C	80.42	19.82
YML050W	2.29	2.87
YLR286C	648.38	646.63
YNR025C	4.28	1.59
YPL140C	7.04	6.87
YOR357C	0.73	1.68
YDR105C	44.9	31.48
YDR295C	6.22	6.62
YDR291W	7.9	6.46
YMR254C	0.38	0.55
YIL065C	1.84	1.43
YCL007c	7.5	4.35
YBR104w	16.43	12.61
YGL056C	61.44	54.82
YJR084W	6.59	7.43
YHR091c	8.98	8.94
YLR411W	4.75	5.93
YMR020W	34.2	19.33
YLR352W	13.46	8.82
YNR075W	40.05	18.13
YOR382W	0.65	0.99
YDL007W	41.59	45.98
YDR101C	233.34	233.12
YDR206W	18.98	9.01
YIL173W	7.65	3.91
YGL011C	36.15	35.43
YER112w	5.22	5.67
YER118c	57.33	52.6
YJR087W	26.16	14.55
YGL084C	49.52	16.29
YLR390W	0.4	1.81
YMR055C	8.77	5.73
YML123C	3782.96	1313.14
YPL136W	9.94	10.31
YPL100W	4.72	4.7
YPL148C	0.63	0.58
YDR229W	5.06	5.39
YDR389W	43.42	18.41
YIR002C	12.1	7.53
YJL207C	9.54	5.64
YIL040W	5.94	5.56
YBR181c	1474.39	1449.56
YGR155W	876.62	580.68
YJR149W	5.95	3.3
YHR117W	47.94	20.78
YML063W	3.39	3.59
YMR110C	43.82	30.05
YML099C	16.82	7.07
YPL088W	8.87	8.24
YPL185W	0.91	0.58
YDR218C	0.56	0.59
YDR350C	28.16	27.05
YDR466W	2.44	3.84
YER164w	4.42	2.3
YGR106C	171.93	130.15
YER159c	3.84	5.49
YGL181W	16.67	17.7
YKL097C	2.45	1.16
YGR065C	39.12	18.3
YML129C	1.1	1.84
YMR144W	3.13	2.42
YMR105C	16.09	8.52
YPL071C	0.62	0.87
YPL063W	69.49	82.45
YPR101W	1.17	3.12
YDR375C	12.95	15.4
YDR477W	73.65	86.91
YKL205W	30.21	12.02
YLR087c	22.54	8.43
YIL012W	3.63	3.83
YCR040w	0.41	1.32
YCR019w	4.46	2.03
YHL017W	59	36.5
YKL077W	139.04	126.82
YHR172W	1.14	1.99
YMR069W	0.54	1
YMR199W	33.23	5.72
YMR049C	460.45	324.08
YPL050C	84.39	69.39
YPR089W	18.18	19.14
YDR329C	8.88	9.78
YLR206W	59.46	67.7
YLL003w	5.75	5.53
YGR032W	44.15	36.02
YGR172C	61.2	29.63
YFL014W	0.94	0.82
YGL067W	49.89	28.28
YKL049C	5.11	4.4
YGR166W	12.31	8.56
YMR057C	0.39	1.5
YMR267W	6.63	6
YMR282C	22.66	17.84
YPL025C	0.62	0.82
YPL017C	37.48	10.41
YPR197C	19.61	8.46
YOL132W	2.6	1.08
YNL299W	13.38	10.32
YKR086W	6.63	5.15
YNL271C	333.42	176.91
YGR215W	0.51	1.04
YCR049c	19.67	10.06
YEL017w	36.84	19.01
YDR245W	68.13	62.3
YKL035W	250.45	198.12
YHR202W	5.65	4.51
YMR188C	3.52	4.96
YMR290C	99.11	86.01
YMR257C	11.8	8.65
YPL001W	7.34	11.13
YDR483W	256.46	301.75
YNL104C	740.47	722.57
YMR080C	44	63.35
YGL135W	2598.21	2250.61
YIL124W	38.77	29.7
YER126c	51.09	46.42
YER143w	14.48	11.27
YJL016W	12.57	7.75
YER022w	2.62	4.62
YLR315W	0.8	3.35
YLR420W	24.4	25.78
YLR098c	255.03	21.59
YNL033W	3.23	3.4
YEL076W-C	113.45	27.05
YBR046c	11.28	6.82
YBR186w	1.89	2.81
YBR259w	5.9	6.31
YAL030W	12.72	14.43
YDR239C	11.19	9.53
YER083c	27.99	29.58
YFL018C	70.2	71.36
YJR079W	14.57	10.53
YER157w	27.92	12.01
YLR339C	2837.29	890.76
YLR443W	18.78	17.63
YLR114c	47.47	51.84
YGL241W	34.3	18.24
YAL009W	5.45	5.61
YBR192w	30.75	24.7
YDL245C	8.38	6.62
YDL132w	9.06	6.66
YBL047c	12.37	7.38
YGL102C	943.78	909.17
YIL103W	27.93	23.38
YGL209W	23.6	12.18
YGL169W	46.99	31.81
YJR025C	20.36	20.87
YER173W	4.59	5.18
YLR400W	6.33	4.67
YML119W	4.79	6.95
YLR234W	7.99	3.5
YNR014W	2.74	2.71
YDL169C	0.42	0.53
YDL175c	3.14	4.98
YDL170W	18.47	18.35
YDL164C	37.78	10.64
YCR033w	38.7	24.08
YBL072c	2521.56	2671.07
YAR064W	5.93	4.45
YGL161C	55.05	54.72
YGL172W	36.17	31.45
YJR101W	7.57	8.24
YFL023W	6.43	6.75
YLR463C	82.44	20.08
YLR241W	83.85	62.47
YGL137W	360.39	314.43
YDL087c	8.72	8.65
YDL168W	51.28	53.02
YDR026c	4.79	7.34
YDR034C	38.65	25.79
YDL195W	4.68	4.78
YGL072C	9.73	13.5
YIL079C	22.21	278.36
YGR021W	19.52	9.46
YGL004C	6.02	7.52
YJR074W	6.54	8.71
YFR048W	11.47	6.03
YML098W	2.12	4.43
YML021C	8.16	5.15
YLR403W	66.65	38.25
YNR064C	3.29	3.13
YDL002C	6.16	6.99
YDL057w	2.41	2.19
YDL030W	10.87	10.92
YDR108W	22.84	11.82
YIL147C	29.41	14.78
YBR154c	18.45	23.52
YBL078c	1.51	1.28
YGR007W	27.14	27.64
YGL035C	15.46	17.91
YJR142W	5.93	5.92
YGL234W	462.11	232.44
YML012W	50.98	23.51
YLR381W	17.29	4.92
YGR100W	43.41	27.45
YDR050C	2599.11	2241.11
YDR035W	178.73	208.57
YDR212W	426.17	318.75
YDR264C	93.14	52.47
YDR227W	3.25	3.17
YGL045W	4.43	4.38
YIL052C	193.02	262.32
YGR152C	9.43	4.7
YGR223C	9.12	7.22
YJR118C	38.15	10.06
YGL124C	11.37	6.69
YMR009W	4.4	4.35
YMR026C	11.81	8.06
YML031W	78.35	55.98
YPL117C	43.5	58.22
YDR042C	3.16	1.56
YDR077W	2373.66	1195.25
YDR082w	3.7	4.77
YDR211W	67.22	44.4
YFL008W	53.71	30.47
YCL076w	0.44	24.65
YBL044w	0.83	1.25
YGR144W	1.67	1.36
YGR117C	16.55	14.69
YJR156C	1.7	0.91
YGL093W	5.04	3.42
YMR118C	3.39	3.05
YMR153W	11.73	13.38
YML002W	10.51	7.1
YGR274C	16.67	8.36
YDR275W	10.46	5.75
YDR191W	14.43	10.5
YDR463W	16.5	21.25
YDR490C	8.58	6.34
YIL126W	6.83	2.82
YGL029W	1.77	3.76
YIL033C	87.64	87.77
YHL049C	143.67	37.13
YHR001W	21.04	20.36
YKL070W	8.59	6.83
YGL060W	21.09	28.57
YMR112C	0.4	1.31
YMR203W	505.69	372.81
YMR092C	74.39	86.54
YPL065W	0.56	0.88
YDR167W	4.4	5.57
YDR267C	13.66	12.92
YDR195W	8.86	10.17
YDR444W	10.39	9.63
YGR170W	28.26	21.56
YCR027c	13.58	14.46
YBL003c	385.8	94.33
YHR012w	11.5	10.3
YGR288W	5.32	3.64
YKL085W	51.79	34.16
YGL009C	1121.57	700.14
YMR184W	0.99	3.88
YMR211W	9.8	7.57
YMR179W	7.99	1.64
YHR079c	43.18	22.61
YDR410C	46.89	73.67
YDR354W	87.48	103.74
YNL275W	29.71	18.87
YNL247W	165.78	190.05
YFL036W	33.9	19.71
YGR006W	22.91	21.62
YIL003W	7.93	5.26
YHR133C	119.25	86.06
YHR118C	7.77	5.86
YKL030W	36.04	13.78
YGR099W	5.55	4.1
YMR242C	365.11	157.68
YMR276W	58.64	65.86
YMR278W	21.09	17.93
YPL002C	6.2	6.43
YDR408C	10.73	12.67
YDR414C	37.35	20.16
YDR376W	24.95	20.05
YNL059C	31.92	35.98
YJL074C	8.49	4.55
YFL038C	30.26	37.52
YBR032w	13.55	2.98
YHR070W	68.98	56.4
YKL023W	6.61	7.17
YGR157W	444.89	200.05
YMR263W	1.35	3.48
YMR265C	0.81	3.56
YMR246W	384.01	301.75
YHR211W	33.61	23.79
YDR538W	27.99	26.4
YDR502C	644.62	610.14
YNL154C	133.86	213.32
YNL183C	25.83	33.62
YGR090W	50.56	53.87
YIL049W	9.82	7.3
YEL003w	1.72	3.15
YGL063W	6.59	3.66
YJL022W	1.03	2.24
YFL055W	17.78	25.05
YLR255C	0.38	2.51
YLR372W	506.63	120.56
YLR077w	10.4	7.89
YNL052W	64.52	72.16
YNL012W	6.29	3.07
YBR151w	36.61	31.47
YBR098w	3.7	3.29
YDL203c	28.53	27.73
YDL185W	544.16	222.21
YBR140c	70.26	37.28
YFL056C	27.39	17.1
YCL042w	21.91	16.04
YEL004w	7.99	5.26
YER090w	171.58	185.08
YJR010W	14.05	11.27
YHR015W	0.5	2.46
YLR250W	15.57	6.63
YML120C	51.18	41.17
YLR127c	11.78	7.57
YNR003C	5.2	7.03
YAR008W	7.46	2.95
YBR279w	8.5	13.15
YBR298c	0.39	1.96
YDL194W	2.97	4.34
YBL017c	5.28	4.77
YFR043C	3.74	2.1
YER042w	10.05	8.54
YGR072W	3.35	3.83
YJR020W	3.89	4.59
YFR037C	19.72	25.57
YLR296W	0.39	2.32
YLR457C	0.73	2.19
YLR196W	122.85	119.3
YNL015W	0.86	1.75
YNR029C	68.79	38.45
YDL179w	7.94	7.54
YDL091c	7.24	5.87
YDR118W	9.64	7
YDR038C	96.99	23.68
YDR150W	30.58	24.75
YIL111W	15.58	16.26
YGL157W	34.26	28.73
YFR006W	126.41	92.42
YJR062C	22.13	20.75
YHR045W	35.31	16.61
YLR338W	64.39	25.32
YML032C	63.65	66.22
YLR240W	13.87	9.57
YNR041C	38.19	32.55
YDL142c	9.21	8.22
YDL097c	55.29	85.59
YDL063c	75.85	95.2
YDR069C	9.8	7.62
YDR135C	55.58	50.5
YGL117W	7.55	12.33
YER072w	130.56	166.21
YGR173W	22.13	24.36
YJR058C	8.07	5.5
YGL171W	21.78	13.74
YLR334C	0.63	1.78
YML047C	0.42	45.83
YLR353W	30.17	33.2
YNR036C	13.9	14.6
YPL139C	19.19	15.25
YDL014W	1085.54	797.2
YDR125C	6.64	31.79
YDR307W	30.26	10.18
YDR310C	17.45	15.03
YIL062C	4.96	6.46
YGL033W	1.19	0.96
YGL055W	1494.66	391.78
YJR117W	192.68	100.31
YHR092c	60.73	6.93
YLR412W	9.95	11.3
YMR023C	16.79	11.65
YLR357W	53.75	36.52
YPL138C	3.12	3
YDR025W	1455.7	1244.72
YDL005c	10.04	9.91
YDR143C	69.35	74.29
YDR213W	5.83	4.38
YIL149C	11.16	5.91
YGR024C	10.34	15.3
YER115c	6.75	5.77
YGR286C	18.53	6.72
YJR108W	0.57	0.87
YGL077C	109.81	44.9
YLR395C	0.47	2.17
YMR056C	2.85	2.44
YML071C	5.52	5.8
YPL135W	102.92	73
YPL097W	32.79	26.82
YDR124W	4.17	121.62
YDR254W	12.39	7.67
YDR390C	41.14	37.08
YJL098W	32.14	17.5
YJL130C	1047.11	754.04
YIL032C	2.78	1.25
YCR020C-a	1.15	1.7
YGR080W	9.12	10.68
YGR177C	41.51	16.64
YJR161C	298.85	81.5
YHR124w	4.52	3.37
YML041C	25.85	15.31
YMR115W	7.81	7.57
YML093W	14.62	13.63
YPL087W	36.95	17.28
YDR262w	49.77	43.81
YDR222W	23.56	13.13
YDR440W	8.35	6.86
YIR023W	49.97	32.16
YER166w	4.85	3.38
YGR115C	63.04	73.2
YER181c	31.45	7.28
YHR040W	10.58	5.83
YKL096W-A	1326.22	1136.75
YGR077C	34.19	14.56
YML122C	0.57	1.46
YMR146C	88.9	92.5
YMR136W	12.79	13.53
YPL062W	0.56	0.76
YPL061W	1157.66	1064.68
YDR352W	49.3	27.76
YDR388W	169.74	182.82
YDR484W	22.03	18.6
YKL197C	19.42	8.58
YLR305C	74.32	46.49
YIL010W	4.35	3.76
YDL046w	172.69	157.34
YGR180C	404.53	282.73
YHR006W	9.82	10.53
YKL075C	5.82	6.13
YHR178W	8.47	6.42
YMR087W	23.11	13.73
YMR215W	176.94	109.6
YMR053C	4.3	3.15
YPL039W	4.35	4.08
YDR361C	39.94	46.82
YDR331W	62.04	45.23
YNL308C	18.44	33.59
YLR067c	7.27	6.63
YGR098C	32.47	16.86
YGR195W	7.57	6.48
YFL012W	2.8	0.55
YDR243C	8.01	6.5
YKL044W	59.65	33.47
YGR171C	8.89	6.69
YMR082C	0.38	1.03
YMR274C	12.15	5.3
YMR284W	6.52	5.57
YPL021W	0.46	0.58
YPL003W	8.85	7.2
YDR530C	6.93	7.62
YOL125W	19.19	18.92
YNL293W	14.68	15.34
YLL031c	51.82	17.86
YNL262W	86.92	23.65
YGR219W	3.57	5.63
YHR034C	70.38	53.68
YHR086w	50.32	26.64
YKL028W	14.59	23.35
YHR204W	24.96	10.6
YMR193W	574.2	536.19
YMR297W	351.07	257.17
YMR302C	29.26	25.74
YAL068C	15.66	15.67
YBL111C	585.53	258.19
YDR527W	12.36	17.55
YNL094W	33.77	41.36
YMR086W	11.58	12.55
YMR175W	33.14	15.02
YGL132W	8.15	6.16
YER130c	5.01	4.52
YER153c	10.07	5.05
YGL244W	20.92	21.74
YJL011C	0.83	2.8
YER040w	7.6	7.66
YLR317W	2.82	5.52
YLR423C	0.83	1.36
YLR103c	7.83	2.55
YAR075W	578.03	137.73
YBL093c	7.48	7.69
YCR036w	14.82	23.05
YCL038c	31.25	17.56
YCR084c	357.62	297.66
YBL105c	51.84	31.06
YBR051w	0.48	1.32
YER099c	20.75	18.48
YFR010W	54.27	67.27
YJR083C	0.48	2.46
YER162c	4.59	4.43
YLR350W	0.38	2.64
YLR446W	10.56	8.23
YLR131c	15.12	13.51
YBR091c	0.42	2.62
YBL038w	5.25	6.24
YCR035c	15.99	18.01
YDL225w	14.96	22.51
YDL126C	437.12	194.21
YBL007c	117.27	69.89
YGL101W	22.54	15.08
YER154w	68.48	45.15
YGL154C	9.78	9.61
YGL164C	3.03	6.12
YJR047C	1146.88	268.26
YFL054C	3.76	4.44
YLR402W	12.38	4.89
YML107C	8.37	6.77
YLR260W	27.72	19.27
YDL232W	1.54	2.18
YDL166c	5.94	6.85
YDL144c	15.53	13.96
YDL160C	157.66	142.26
YDL141W	61.27	40.95
YCR081w	19.72	11.37
YBL057c	7.55	12.02
YBR116c	5.14	3.77
YGL146C	2.06	1.31
YGL129C	21	27.06
YJR105W	405.23	427.83
YFL009W	20.07	9.11
YML106W	2.08	4.83
YLR258W	27.1	8.34
YDL157c	4.45	5.17
YDL075W	218.12	345.99
YDL134C	188.41	189.34
YDR057w	8.98	9.13
YDR089w	15.04	6.11
YDL112w	8.88	5.64
YGL070C	5.65	6.33
YER185w	1.44	1.29
YGR026W	85.89	71.12
YGR110W	8.39	6.34
YJR097W	0.86	2.35
YGL249W	1.19	1.22
YML090W	4.09	2.68
YML018C	98.38	75.39
YLR413W	540.67	215.6
YDL081C	482.1	495.62
YDR002W	79.76	150.89
YDL055C	2124.64	1250.6
YDL020C	44.51	37.65
YDR109C	15	7.94
YIL048W	77.86	48.28
YBR164c	22.53	24.76
YBR173c	6.46	7.82
YGR017W	11.55	11.67
YGL017W	9.31	8.57
YJR144W	5.88	6.47
YGL233W	36.16	15.06
YMR003W	0.41	1.57
YMR068W	1.1	2.12
YLR396C	27.07	14.86
YDR008C	1.9	1.66
YDR092W	6.33	7.43
YDR076W	23.56	11.18
YDR232W	347.24	207.26
YDR324C	56.53	27.4
YDR293C	62.57	26.74
YGL042C	3.67	6.85
YFL044C	31.56	16.75
YMR286W	2.72	3.09
YGR244C	44.66	25.79
YJR123W	1931.76	1994.35
YGL114W	31.45	9.43
YMR022W	2.79	3.19
YMR030W	0.45	0.9
YML020W	10.32	7.52
YDL009c	1.04	0.73
YDR056c	13.51	12.04
YDR126W	4.23	3.03
YDR111C	55.36	51.24
YDR221W	17.54	9.69
YFR031C	24.79	19.46
YCL068c	1.95	2.27
YBR210w	4.29	3.58
YGR208W	10.45	12.76
YGR121C	49.18	15.88
YJR159W	5.96	4.57
YGL083W	43.08	21.08
YMR121C	0.46	1.43
YMR173W	34.56	67.95
YMR001C	63.35	50.58
YDR133C	366.23	129.98
YDR304C	77.36	71.79
YDR197W	8.75	8.55
YDR474C	1.43	1.42
YDR505C	41.69	15.9
YIL030C	50.52	20.56
YGR209C	13.5	10.12
YHL034c	76.86	102.14
YHR003C	15.86	18.01
YKL069W	1.27	2.23
YGL026C	337.07	187.98
YMR148W	6.67	6.6
YMR214W	20.28	18.9
YMR100W	41.97	28.59
YDR114C	1.95	2.22
YDR177W	8.17	12.3
YDR273W	0.75	0.89
YDR256C	12.39	8
YDR499W	10	6.56
YGR233C	97.46	87.69
YCR039c	5.1	4.54
YBR258c	19.84	16.48
YHR029C	8.77	7.02
YHL021C	14.02	6.54
YKL060C	4286.55	3014.91
YGL008C	4400.34	2263.91
YMR197C	1.16	1.68
YMR220W	59.49	43.03
YMR186W	3700.49	2600.01
YDR357C	2.01	1
YDR412W	8.92	11.67
YDR400W	59.73	42.11
YNL270C	20.94	8.49
YNL238W	76.44	72.91
YGR008C	4.66	2.9
YFR025C	11.94	9.27
YHR134W	10.27	6.46
YHR123w	55.89	30.31
YKL026C	0.42	0.79
YGR128C	25.62	8.45
YMR252C	5.05	3.87
YMR289W	13.09	10.06
YMR301C	52.64	29.23
YDR281C	45.45	11.84
YDR453C	1.44	0.68
YDR435C	15.46	14
YDR402C	2.12	1.47
YNL021W	28.67	15.37
YJR039W	23.07	17.96
YFL031W	424.64	153.26
YBR301w	23.14	12.31
YHR142W	58.39	80.9
YHR113W	55.19	41.95
YKL019W	22.08	23.86
YGR196C	6.42	6.93
YMR264W	0.38	1.34
YMR268C	0.38	2.25
YMR277W	32.99	36.58
YDR521W	1.95	5.53
YFL006W	60.17	74.78
YDR517W	32.76	45.43
YNL117W	2.52	2.17
YNL126W	18.1	11.14
YGR116W	11.55	26.56
YIL020C	10.55	7.47
YFL010W-A	6.69	9.06
YGL048C	67.24	69.45
YJL018W	6.37	5.06
YFL053W	30.16	11.96
YLR261C	0.72	4.36
YLR375W	43.08	29.47
YLR081w	4.5	1.2
YNL046W	10.46	11.97
YBR047w	0.38	0.96
YDL236W	71.17	57.56
YBR199w	55.85	56.02
YDL113c	6.1	8.53
YDL149w	11.3	6.6
YBR234c	141.44	168.06
YFL051C	0.78	1.04
YCR050c	12.41	7.02
YER016w	7.9	12.04
YER096w	3.94	4.16
YJR015W	201.68	132.13
YHR019c	922.62	586.18
YLR271W	1.42	4.18
YML118W	0.85	1.41
YLR148w	5.45	5.46
YBR013c	0.39	0.85
YBR101c	58.09	40.65
YDL182w	291.39	164.23
YCR048w	67.92	34.27
YDL190C	17.18	7.58
YBR208c	116.47	49.99
YFR050C	59.33	58.4
YBL102w	67.77	47.62
YGR079W	26.04	15.45
YJR022W	0.54	1.77
YGL257C	29.83	12.26
YLR302C	3.94	2.13
YIL074C	55.19	15.01
YLR237W	65.69	24.71
YNL013C	1.36	0.89
YDL208W	29.7	48.95
YDL124w	52.56	31.5
YDL089w	20.04	15.96
YDR129C	183.5	159.76
YDR039C	73.4	17.61
YDR170C	107.2	55.99
YIL102C	1.24	1.19
YGL153W	2.07	2.17
YFR039C	33.66	22.99
YJR065C	120.48	180.39
YHR047c	35.35	11.39
YLR344W	136.62	149.02
YML023C	61.39	48.81
YLR263W	0.96	2.42
YDL062w	26.27	38.26
YDL129w	15.61	11.26
YDL090C	11.61	9.45
YDL025c	7.35	9.16
YDR074W	24.88	31.67
YDR141C	1402.51	657.71
YGL098W	16.13	12.79
YBR153w	11.84	14.09
YGR179C	4.05	1.25
YJR063W	7.22	7.6
YGL160W	29.83	11.39
YLR346C	0.8	2.36
YML037C	7.91	6.09
YLR361C	22.54	14.29
YNR037C	0.93	2.3
YDL094c	9.51	3.08
YDR033w	1384.36	498.86
YDR148C	77.93	103.9
YDR311W	11.22	28.49
YDR325W	19.3	11.22
YGR184C	79.98	54.97
YIL060W	95.99	20.19
YCR086w	1.35	2.04
YGL001C	90.95	72.38
YGL028C	153.27	310.53
YJR121W	1730.05	809.51
YHR094c	532.12	67.31
YLR414C	61.23	34.86
YMR029C	7.59	5.92
YLR373C	53.67	24.55
YDR157W	3.56	1.63
YDR087c	13.19	21.71
YDL001W	5.86	6.04
YDR144C	111.55	79.47
YDR285W	0.49	1.02
YIL115C	13.18	5.98
YGR033C	18.06	18
YEL072w	4.88	3.41
YGR295C	349.29	197.29
YJR114W	8.67	7.18
YGL076C	507.06	203.66
YLR408C	0.42	1.67
YMR081C	3.44	2.53
YML070W	59.33	48.35
YPL114W	1.66	0.96
YDR136C	1.93	1.57
YDR151C	23.47	15.58
YDR306C	18.72	11.4
YDR398W	82.09	82.65
YJL084C	29.24	24.08
YJL005W	36.97	19.79
YIL029C	0.92	0.65
YMR256C	1.09	1.27
YGR084C	5.42	6.52
YGR189C	528.04	244.42
YKL106W	90.65	66.68
YHR131C	4.69	4.02
YML014W	420.72	110.04
YMR131C	77.31	84.2
YML065W	3.93	3.52
YDR366C	795.38	56.24
YDR272W	5.91	6.49
YDR255C	7.79	6.84
YDR497C	215.94	81.22
YGR240C	76.19	20.65
YMR174C	223.59	130.39
YGR118W	761.13	773.84
YER050c	5.55	4.68
YHR052W	101.12	125.31
YKL084W	22.61	9.96
YGR087C	66.99	2.95
YML108W	1.16	1.94
YMR180C	4.23	4.48
YMR145C	997.86	420.04
YPL056C	4.59	5.51
YDR253C	4.4	2.1
YDR353W	307.51	289.78
YBL113C	1269.46	456.26
YDR496C	74.07	64.6
YKL173W	32.13	16.91
YLR422W	19.51	8.18
YIL008W	1.63	2.4
YEL075c	72.49	26.98
YGR192C	6450.97	3133.59
YHR007c	2010.86	875.77
YKL074C	21.61	18.48
YHR182W	8.72	6.06
YMR134W	6.04	8.77
YMR217W	794.44	650
YMR054W	66.6	41.54
YDR482C	0.76	1.07
YDR384C	140.53	90.92
YDR370C	8.48	10.41
YNL268W	445.75	300.08
YLR129w	40.96	26.52
YGR281W	32	14.98
YGR207C	5.2	3.94
YER139c	12.63	8.25
YHR112C	16.4	8.47
YKL037W	4.27	4.18
YGR191W	116.68	55.07
YMR107W	0.38	1.17
YMR281W	7.96	6.42
YMR291W	47.14	19.25
YPL013C	1.09	3.34
YDR413C	4.36	7.76
YIL043C	124.49	143.89
YOL072W	7.94	6.17
YNL279W	4.36	586.51
YLL016w	1.73	2.11
YNR016C	113.98	40.02
YGR226C	1.89	0.95
YEL048c	4.37	5.48
YHR054C	58.04	26.38
YHR135c	93.97	104.79
YKL027W	20.9	19.74
YHR205w	42.85	27.48
YMR200W	6.49	7.08
YMR300C	73.27	68.86
YAL035C-A	0.67	1.75
YMR260C	32.95	86.26
YNL286W	1.18	3.66
YDR528W	13.46	12.16
YNL076W	6.79	12.83
YMR124W	7.6	16.77
YJL095W	20.42	18.22
YGR011W	0.98	2.89
YER133w	93.97	40.01
YER174c	15.28	10.34
YGL223C	7.4	10.59
YJL004C	19.83	15.87
YER049w	142.96	70.35
YLR316C	2.94	5.87
YLR449W	47.49	96.99
YBL108w	4.75	3.18
YBR066c	1.12	4.39
YDL246c	1.33	1.57
YCR028c	61.47	38.85
YDL234C	15.33	14.03
YBL022c	87.21	82.26
YFL010C	10.84	18.96
YBR062c	1.53	3.03
YER106w	0.48	1.4
YFR021W	12.95	11.35
YJR088C	18.42	16.14
YER167w	42.03	31.23
YLR356W	3.09	4.5
YML102W	13.2	7.84
YAL051W	40.01	23.75
YBR099c	5.75	2.66
YDL213c	6.78	12.24
YDL248w	324.71	75.9
YDL210W	1.98	1.28
YDL122W	14.74	7.64
YBR081c	6.88	5.16
YGR030C	2.77	3.48
YER156c	85.31	66.27
YGL096W	2.54	1.06
YGL143C	6.69	5.29
YJR050W	3.55	5.87
YFL047W	20.37	18.38
YLR416C	0.46	3.26
YML074C	72.71	131.25
YNL320W	20.41	11.14
YDL196w	0.55	0.94
YDL135C	8.07	26.23
YDL108W	3.87	5.05
YDL159W	8.05	9.27
YDL138w	5.14	4.68
YDL231c	34.75	14.42
YFR026C	40.12	52.23
YBR120c	1.61	1.25
YGL136C	21.16	10.65
YGL119W	26.65	14.53
YJR107W	14.37	9.67
YFL004W	389.07	168.58
YML095C	0.85	3
YML038C	72.59	50.47
YBL054w	50.1	48.6
YDL152w	5.37	5.75
YDL069C	1.65	1.76
YDL105W	0.97	0.97
YDR062W	408.08	332.8
YDR119W	118.29	74.87
YDL019c	29.46	16.72
YGR064W	7.14	6.24
YER186c	18.49	14.47
YGR042W	5.67	4.14
YGR142W	16.47	8.11
YJR099W	3.72	4.72
YGL245W	328.67	88.73
YML077W	1.19	2.33
YML008C	149.69	169.17
YNL246W	47.09	37.8
YDL067C	16.59	9.46
YDR003W	23.33	11.13
YDR012W	5830.89	3147.96
YDL017W	6.74	5.52
YDR138W	9.57	6.76
YIL026C	36.04	8.71
YFR056C	10.21	5.56
YBR174c	4.15	3.68
YGR044C	11.98	13.3
YGL012W	399.49	121.71
YJR145C	2284.56	1492.48
YGL229C	8.17	5.82
YMR052W	0.4	1.67
YMR091C	16.65	18.79
YBR086c	374.83	167.47
YDR010c	0.52	0.75
YDR149C	7.44	8.41
YDR083w	59.76	50.84
YDR261C	47.6	41.82
YDR351W	14.55	10.43
YDR301W	31.18	15.34
YGR082W	47.88	60.36
YFL039C	2861.39	1452.88
YGR205W	4.22	1.49
YGR249W	3.45	2.23
YJR133W	9.99	9.35
YGL113W	2.78	3.58
YMR035W	0.73	2.54
YMR067C	7.12	9.5
YNL202W	5.08	3.89
YDR016c	1.03	0.82
YDR066c	5.02	2.63
YDR158W	1155.74	893.98
YDR132C	6.36	6.49
YDR234W	148.11	76.8
YGL151W	51.68	44.23
YGL242C	5.37	5.24
YBR224w	7.25	7.51
YGR213c	4.6	3.22
YGR141W	17.46	12.14
YKL107W	1.05	0.9
YGL073W	6.92	6.19
YMR132C	0.54	1.44
YMR187C	9.34	4.64
YCR011c	255.96	113.32
YDR154C	302.59	304.44
YDR305C	5.03	3.95
YDR249C	24.28	23.95
YDR479C	15.79	13.47
YDR520C	9.62	6.55
YIL013C	1.54	1.1
YGR131W	11.33	6.52
YFL001W	14.62	17.87
YHL026C	5.62	4.88
YHR004C	14.54	8.96
YKL067W	14.97	8.7
YGL023C	11.75	11.51
YMR151W	0.53	1.25
YMR235C	126.72	181.46
YNL168C	129.39	135.92
YDR139C	1.1	1.49
YDR226W	173.65	235.24
YDR279W	8.09	7.56
YDR257C	16.02	26.4
YMR062C	68.11	61.79
YHL023C	17.43	16.42
YGL218W	2.1	2.95
YBR262c	1.53	3.11
YHR046C	8.17	9.89
YHL012W	13.75	5.47
YKL055C	4.14	4.13
YGR067C	0.51	0.57
YMR202W	5.77	5.1
YMR223W	33.82	21.33
YIL112W	99.27	97.81
YDR360W	5.29	6.86
YDR428C	18.06	18.76
YDR415C	10.13	13.04
YBR084C-A	523.85	577.39
YNL224C	6.65	6.66
YFR016C	3.7	5.03
YGR164W	0.84	0.81
YFR027W	0.6	0.59
YHR160C	4.73	1.63
YHR132C	95.42	76.64
YKL024C	34.79	48.57
YGR145W	10.2	7.86
YMR269W	0.71	2.33
YMR305C	728.46	955.03
YNL129W	6.86	5.67
YDR290W	0.4	0.75
YDR468C	7.61	7.26
YDR439W	2.76	4.43
YDR403W	3.51	2.55
YNR044W	48.24	2799.98
YJR041C	61.57	33.47
YGL193C	12.81	11.84
YBR300c	0.66	0.64
